# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-05-06 03:08:46 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06043500 Gallatin River near Gallatin Gateway, MT
# -----------------------------------------------------------------------------------
#
# Data provided for site 06043500
#            TS   parameter     statistic     Description
#         80830       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	80830_00060_00003	80830_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06043500	1989-08-01	616	A
USGS	06043500	1989-08-02	614	A
USGS	06043500	1989-08-03	577	A
USGS	06043500	1989-08-04	563	A
USGS	06043500	1989-08-05	548	A
USGS	06043500	1989-08-06	537	A
USGS	06043500	1989-08-07	529	A
USGS	06043500	1989-08-08	525	A
USGS	06043500	1989-08-09	532	A
USGS	06043500	1989-08-10	563	A
USGS	06043500	1989-08-11	563	A
USGS	06043500	1989-08-12	533	A
USGS	06043500	1989-08-13	547	A
USGS	06043500	1989-08-14	520	A
USGS	06043500	1989-08-15	502	A
USGS	06043500	1989-08-16	488	A
USGS	06043500	1989-08-17	473	A
USGS	06043500	1989-08-18	467	A
USGS	06043500	1989-08-19	508	A
USGS	06043500	1989-08-20	520	A
USGS	06043500	1989-08-21	515	A
USGS	06043500	1989-08-22	485	A
USGS	06043500	1989-08-23	465	A
USGS	06043500	1989-08-24	472	A
USGS	06043500	1989-08-25	492	A
USGS	06043500	1989-08-26	500	A
USGS	06043500	1989-08-27	473	A
USGS	06043500	1989-08-28	497	A
USGS	06043500	1989-08-29	467	A
USGS	06043500	1989-08-30	463	A
USGS	06043500	1989-08-31	438	A
USGS	06043500	1989-09-01	432	A
USGS	06043500	1989-09-02	423	A
USGS	06043500	1989-09-03	425	A
USGS	06043500	1989-09-04	415	A
USGS	06043500	1989-09-05	407	A
USGS	06043500	1989-09-06	410	A
USGS	06043500	1989-09-07	427	A
USGS	06043500	1989-09-08	411	A
USGS	06043500	1989-09-09	419	A
USGS	06043500	1989-09-10	420	A
USGS	06043500	1989-09-11	420	A
USGS	06043500	1989-09-12	408	A
USGS	06043500	1989-09-13	401	A
USGS	06043500	1989-09-14	395	A
USGS	06043500	1989-09-15	388	A
USGS	06043500	1989-09-16	382	A
USGS	06043500	1989-09-17	384	A
USGS	06043500	1989-09-18	437	A
USGS	06043500	1989-09-19	408	A
USGS	06043500	1989-09-20	393	A
USGS	06043500	1989-09-21	385	A
USGS	06043500	1989-09-22	380	A
USGS	06043500	1989-09-23	377	A
USGS	06043500	1989-09-24	372	A
USGS	06043500	1989-09-25	368	A
USGS	06043500	1989-09-26	361	A
USGS	06043500	1989-09-27	383	A
USGS	06043500	1989-09-28	435	A
USGS	06043500	1989-09-29	393	A
USGS	06043500	1989-09-30	379	A
USGS	06043500	1989-10-01	485	A
USGS	06043500	1989-10-02	507	A
USGS	06043500	1989-10-03	450	A
USGS	06043500	1989-10-04	456	A
USGS	06043500	1989-10-05	444	A
USGS	06043500	1989-10-06	445	A
USGS	06043500	1989-10-07	439	A
USGS	06043500	1989-10-08	433	A
USGS	06043500	1989-10-09	440	A
USGS	06043500	1989-10-10	432	A
USGS	06043500	1989-10-11	441	A
USGS	06043500	1989-10-12	435	A
USGS	06043500	1989-10-13	430	A
USGS	06043500	1989-10-14	413	A
USGS	06043500	1989-10-15	402	A
USGS	06043500	1989-10-16	384	A
USGS	06043500	1989-10-17	369	A
